_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,ADDRESS_POINT_ID,ADDRESS_NUMBER,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,CENTRELINE_ID,geometry
675,675,7635592,NELSON MANDELA PARK PUBLIC SCHOOL,Toronto District School Board,440 SHUTER ST,7635592,440,440 Shuter St,M5A 1X6,former Toronto,Toronto,Nelson Mandela Park Public School,30075973,MULTIPOINT (-79.3605527757157 43.6582511901491)
676,676,1015558,NEW ARISING CHRISTIAN SCHOOL,,69 LONG BRANCH AVE,1015558,69,69 Long Branch Ave,M8W 3J5,Etobicoke,Toronto,St Agnes Church Anglican,20058518,MULTIPOINT (-79.5333845640262 43.5936335552901)
677,677,331512,NEW COVENANT CHURCH SCHOOL,,1800 ELLESMERE RD,331512,1800,1800 Ellesmere Rd,M1H 2V5,Scarborough,Toronto,,107745,MULTIPOINT (-79.2448446014296 43.7745350940689)
678,678,30030968,NEW HAVEN LEARNING CTR FOR CHILDREN  ,,301 LANOR AVE,30030968,301,301 Lanor Ave,M8W 2R1,Etobicoke,Toronto,,7323710,MULTIPOINT (-79.5336104773711 43.6111896759132)
679,679,877371,NEWTON INTERNATIONAL COLLEGE SCHOOL,,17 TORONTO ST,877371,17,17 Toronto St,M5C 2R1,former Toronto,Toronto,,14662336,MULTIPOINT (-79.3760168994274 43.6504652934404)
680,680,10335749,NEWTONBROOK SECONDARY SCHOOL,Toronto District School Board,155 HILDA AVE,10335749,155,155 Hilda Ave,M2M 1V6,North York,Toronto,Newtonbrook Secondary School,10335742,MULTIPOINT (-79.4262425900561 43.7935491354672)
681,681,12267344,NIAGARA STREET JUNIOR PUBLIC SCHOOL,Toronto District School Board,222 NIAGARA ST,12267344,222,222 Niagara St,M6J 2L3,former Toronto,Toronto,Niagara St Public School,12267343,MULTIPOINT (-79.4082529250071 43.6439374594858)
682,682,11739450,NILE ACADEMY - BLUE HAVEN CAMPUS,,5 BLUE HAVEN CRES,11739450,5,5 Blue Haven Cres,M9M 1W6,North York,Toronto,Bambolino Preschool Montessori Academy,30001654,MULTIPOINT (-79.5582630205465 43.744521608379)
683,683,30114253,NOBEL ACADEMY,,5635 YONGE ST,30114253,5635,5635 Yonge St,M2M 3S9,North York,Toronto,,11485197,MULTIPOINT (-79.4154068585581 43.7806289558434)
684,684,1027292,NOORI ISLAMIC INSTITUTE ELEMENTARY SCHOOL,,100 REXDALE BLVD,1027292,100,100 Rexdale Blvd,M9W 1N7,Etobicoke,Toronto,,908034,MULTIPOINT (-79.5640415819901 43.7126235590118)
