_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
735,735,13971319,OUR LADY OF PERPETUAL HELP CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,1 1/2 GARFIELD AVE,English Separate,13971319,1 1/2,Garfield Ave,1 1/2 Garfield Ave,M4T 1E6,former Toronto,Toronto,Our Lady Of Perpetual Help C S,102003,7944486,1,1/2,,None,3483,"{""coordinates"": [[314195.16025410994, 4838578.609134431]], ""type"": ""MultiPoint""}"
736,736,1019749,OUR LADY OF SORROWS CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,32 MONTGOMERY RD,English Separate,1019749,32,Montgomery Rd,32 Montgomery Rd,M8X 1Z4,Etobicoke,Toronto,Our Lady of Sorrows,102003,911305,32,None,,None,2136,"{""coordinates"": [[303270.18409988546, 4834252.191151329]], ""type"": ""MultiPoint""}"
737,737,521683,OUR LADY OF THE ASSUMPTION CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,125 GLENMOUNT AVE,English Separate,521683,125,Glenmount Ave,125 Glenmount Ave,M6B 3C2,North York,Toronto,Our Lady of the Assumption Catholic School,102003,445392,125,None,,None,5702,"{""coordinates"": [[310303.8740189389, 4841825.510643405]], ""type"": ""MultiPoint""}"
738,738,9531820,OUR LADY OF VICTORY CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,70 GUESTVILLE AVE,English Separate,9531820,70,Guestville Ave,70 Guestville Ave,M6N 4N3,York,Toronto,Our Lady Of Victory Catholic School,102003,8787,70,None,,None,637,"{""coordinates"": [[305620.1927695497, 4838189.440396624]], ""type"": ""MultiPoint""}"
739,739,348652,OUR LADY OF WISDOM CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,10 JAPONICA RD,English Separate,348652,10,Japonica Rd,10 Japonica Rd,M1R 4R7,Scarborough,Toronto,Our Lady Of Wisdom Catholic School,102003,109091,10,None,,None,8189,"{""coordinates"": [[320231.85537204973, 4846904.432512496]], ""type"": ""MultiPoint""}"
740,740,548156,OVERLAND LEARNING CENTRE,None,EP,Toronto District School Board,55 OVERLAND DR,English Public,548156,55,Overland Dr,55 Overland Dr,M3C 2C3,North York,Toronto,Overland Learning Centre,102001,443301,55,None,,None,6354,"{""coordinates"": [[317006.20386774285, 4843548.315184333]], ""type"": ""MultiPoint""}"
741,741,3244814,OVERLEA LINC,None,EP,Toronto District School Board,14 OVERLEA BLVD,English Public,3244814,14,Overlea Blvd,14 Overlea Blvd,M4H 1A4,East York,Toronto,None,115001,3244866,14,None,,None,278,"{""coordinates"": [[316754.92184093175, 4840417.527748224]], ""type"": ""MultiPoint""}"
742,742,548301,OWEN PUBLIC SCHOOL,None,EP,Toronto District School Board,111 OWEN BLVD,English Public,548301,111,Owen Blvd,111 Owen Blvd,M2P 1G6,North York,Toronto,Owen Public School,102001,441294,111,None,,None,6357,"{""coordinates"": [[313456.5155414354, 4845460.119924575]], ""type"": ""MultiPoint""}"
743,743,14627062,OXFORD COLLEGE OF CANADA ,None,PR,None,5231 YONGE ST,Private,14627062,5231,Yonge St,5231 Yonge St,M2N 5P8,North York,Toronto,None,112001,438723,5231,None,,None,4733,"{""coordinates"": [[311803.19389166706, 4847970.505515135]], ""type"": ""MultiPoint""}"
744,744,20237239,OXFORD COLLEGE OF CANADA SECONDARY SCHOOL,None,PR,None,155 CONSUMERS RD,Private,20237239,155,Consumers Rd,155 Consumers Rd,M2J 0A3,North York,Toronto,None,113001,438551,155,None,,None,5264,"{""coordinates"": [[318267.4837492467, 4848151.5753355725]], ""type"": ""MultiPoint""}"
745,745,2119861,P T MONTESSORI SCHOOL,None,PR,None,280 CULFORD RD,Private,2119861,280,Culford Rd,280 Culford Rd,M6L 2V3,North York,Toronto,Elverston Trethewey United,109001,2119854,280,None,,None,5309,"{""coordinates"": [[305537.13385742606, 4841467.912814007]], ""type"": ""MultiPoint""}"
746,746,6619760,PALMERSTON AVENUE JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,734 PALMERSTON AVE,English Public,6619760,734,Palmerston Ave,734 Palmerston Ave,M6G 2R4,former Toronto,Toronto,Palmerston Avenue Public School,102001,6619772,734,None,,None,4142,"{""coordinates"": [[311638.4596610425, 4836469.126568645]], ""type"": ""MultiPoint""}"
747,747,14615167,PAPE AVENUE JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,220 LANGLEY AVE,English Public,14615167,220,Langley Ave,220 Langley Ave,M4K 1B9,former Toronto,Toronto,Pape Avenue Junior Public School,102002,14022329,220,None,,None,3812,"{""coordinates"": [[317550.09861530067, 4836722.963389315]], ""type"": ""MultiPoint""}"
748,748,7684096,PARK LANE PUBLIC SCHOOL,None,EP,Toronto District School Board,60 PARK LANE CRCL,English Public,7684096,60,Park Lane Crcl,60 Park Lane Crcl,M3C 2N2,North York,Toronto,Park Lane Public School,102001,7683816,60,None,,None,6377,"{""coordinates"": [[315529.5591226303, 4843226.47727537]], ""type"": ""MultiPoint""}"
