_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
995,343,878,RIVERDALE PARK EAST,Park,"Ball Diamond, Dog Off-Leash Area, Outdoor Dry Pad, Outdoor Fitness Equipment, Outdoor Ping Pong/Table Tennis, Outdoor Track, Pickleball Court, Picnic Site, Playground, Sports Field, Tennis Court, Washroom",550 BROADVIEW AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/343/index.html,"{""coordinates"": [[316433.5028131176, 4836687.442421091]], ""type"": ""MultiPoint""}"
996,2394,1412,JEANETTE PARK,Park,Playground,55 JEANETTE ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2394/index.html,"{""coordinates"": [[325193.22039415303, 4842712.07014498]], ""type"": ""MultiPoint""}"
997,260,1083,WALLACE EMERSON PARK,Park,"Basketball Court, Outdoor Dry Pad, Playground, Sports Field",1260 DUFFERIN ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/260/index.html,"{""coordinates"": [[309597.8990204941, 4836315.744641923]], ""type"": ""MultiPoint""}"
998,41,27,ALLAN GARDENS,Park,"Dog Off-Leash Area, Playground, Washroom",160 GERRARD ST E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/41/index.html,"{""coordinates"": [[314935.6370589241, 4835778.308617411]], ""type"": ""MultiPoint""}"
999,2248,1259,DANFORTH - BIRCHMOUNT PARKETTE,Park,None,3625 DANFORTH AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2248/index.html,"{""coordinates"": [[323588.0296058945, 4839532.457749326]], ""type"": ""MultiPoint""}"
1000,67,555,JONATHAN ASHBRIDGE PARK,Park,"Pickleball Court, Playground, Tennis Court, Washroom",1515 QUEEN ST E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/67/index.html,"{""coordinates"": [[319322.5802856932, 4836098.539460321]], ""type"": ""MultiPoint""}"
1001,469,30,AMES PARK,Park,Playground,272 BANBURY RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/469/index.html,"{""coordinates"": [[315524.28418035794, 4845719.090831413]], ""type"": ""MultiPoint""}"
1002,244,786,ONTARIO STREET PARKETTE,Park,Playground,227 ONTARIO ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/244/index.html,"{""coordinates"": [[315472.4809525449, 4835299.449690738]], ""type"": ""MultiPoint""}"
1003,2065,955,SIR ADAM BECK PARK,Park,"Pickleball Court, Tennis Court, Washroom",55 ELTHAM DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2065/index.html,"{""coordinates"": [[300961.52239772776, 4829131.918116801]], ""type"": ""MultiPoint""}"
1004,1880,831,PORTAGE GARDENS PARK,Park,Playground,400 SIDNEY BELSEY CRES,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1880/index.html,"{""coordinates"": [[304098.17605726677, 4838964.670292263]], ""type"": ""MultiPoint""}"
